slug,baslik,koleksiyon,eski_sorgu
turba-philosophorum-filozoflar-meclisi,Filozoflar Meclisi: Kadim Bilgeliğin Toplanışı,Simya,turba philosophorum
dastin-gul-bahcesi-simya,Filozofların En Gizli Gül Bahçesi,Simya,dastin bahcesi
rosarium-philosophorum,Filozofların Gül Bahçesi,Simya,rosarium philosophorum
filozoflarin-gul-bahcesi-birlesme-kutsal-dugun,Filozofların Gül Bahçesi: Birleşme ve Kutsal Düğün,Simya,filozoflarin bahcesi
edward-kelly-filozoflarin-tasi-hakikat-ugruna,Filozofların Taşı: Hakikat Uğruna Yazılmış Bir İthaf,Simya,edward kelly
democritus-physica-et-mystica,Fiziksel ve Mistik Şeyler,Simya,democritus physica
splendor-solis,Güneşin Görkemi,Simya,splendor solis
michael-maier-gurultunun-ardindan-sukut,Gürültünün Ardından Sükût: Bir Savunma ve Cevap,Simya,michael maier
jean-despagnet-hermetik-arcanum-filozofun-hazirligi,Hermetik Arcanum: Filozofun Ruhsal Hazırlığı,Simya,jean despagnet
silberer-hermetik-sanat-ve-simya,Hermetik Sanat ile Simyanın Kardeşliği,Simya,silberer hermetik
figulus-paradisus-aureolus-hermeticus-alchemy-theory,Hermetik Sanatın Kuramı: Tek Taş ve Büyük Eser,Simya,figulus paradisus
hermetik-zafer-tek-seyden-dogan-eser-simya,Hermetik Zafer: Tek Bir Şeyden Doğan Eser,Simya,hermetik zafer
flamel-hiyeroglif-figurler,Hiyeroglif Figürler Kitabı,Simya,flamel hiyeroglif
homerin-altin-zinciri-dogamn-kokeni,Homer&#x27;in Altın Zinciri: Doğanın Kökeni Üzerine,Simya,homerin altin
homerin-altin-zinciri-doga-ve-kaos-kirchweger-simya,Homeros&#x27;un Altın Zinciri: Doğa Nedir ve Her Şey Kimden Doğar,Simya,homerin altin
aula-lucis-isik-sarayi-vaughan,Işık Sarayı,Simya,aula lucis
thomas-vaughan-lumen-de-lumine-isiktan-isik,Işıktan Işık,Simya,thomas vaughan
janitor-pansophus-her-seyi-bilen-kapici,Janitor Pansophus: Her Şeyi Bilen Kapıcı,Simya,janitor pansophus
khunrath-kaos-uzerine-itiraf-yazarin-kehaneti,Kaos Üzerine İtiraf: Yazarın Kehaneti,Simya,khunrath kaos
maier-atalanta-fugiens,Kaçan Atalanta,Simya,maier atalanta
jean-beguin-kimyanin-tanimi,Kimyanın Tanımı Üzerine,Simya,jean beguin
kralin-kapali-sarayina-acik-giris,Kralın Kapalı Sarayına Açık Giriş,Simya,kralin kapali
philalethes-acik-giris,Kralın Sarayına Açık Giriş,Simya,philalethes acik
olympiodoros-kutsal-sanat-uzerine-ilahi-su,Kutsal Sanat Üzerine: İlahi Suyun Gizlenişi,Simya,olympiodoros kutsal
salomon-trismosin-kizil-aslan-aureum-vellus,Kızıl Aslan: Doğanın Gizli Hazinesi,Simya,salomon trismosin
lambspring-kitabi-geyik-ile-tekboynuz,Lambspring Kitabı: Geyik ile Tekboynuz,Simya,lambspring kitabi
thomas-vaughan-lumen-de-lumine-isiktan-isik-simya,Lumen de Lumine: Işıktan Işık,Simya,thomas vaughan
hollandus-opera-mineralia-saturn-oil-of-metals,Madenlerin Yağı Üzerine: Satürn&#x27;ün Ameli,Simya,hollandus opera
nazari-madensel-donusum-uzerine,Madensel Dönüşüm Üzerine,Simya,nazari madensel
razi-sirlarin-sirri-simya-manzumesi,Manzum Simya Kitabı: Râzî&#x27;ye Atfedilen Sırlar,Simya,razi sirlarin
sendivogius-merkur-simyaci-ve-doga-diyalogu,"Merkür, Simyacı ve Doğa Diyalogu",Simya,sendivogius merkur
becher-physica-subterranea-madenler-topraktir,Metaller Topraktan İbarettir: Becher&#x27;in Üçlü Toprak Öğretisi,Simya,becher physica
denis-zachaire-metaller-uzerine-risale,Metaller Üzerine Risale,Simya,denis zachaire
petrus-bonus-metallerin-ilk-maddesi,Metallerin İlk Maddesi Üzerine,Simya,petrus bonus
zosimos-omega-harfi-uzerine,Omega Harfi Üzerine,Simya,zosimos omega
basil-valentine-on-iki-anahtar,On İki Anahtar,Simya,basil valentine
basilius-valentinus-on-iki-anahtar-birinci-anahtar-simya,On İki Anahtar: Birinci Anahtar,Simya,basilius valentinus
basil-valentine-on-iki-anahtar-birinci-anahtar-boz-kurt,On İki Anahtar: Birinci Anahtar ve Boz Kurdun Sırrı,Simya,basil valentine
george-ripley-twelve-gates-invocation,On İki Kapı: Simyacının Yakarışı ve Tek Kütlenin Sırrı,Simya,george ripley
starkey-pyrotechny-altin-post-pesindekiler,Piroteknik: Altın Post Peşindeki Sahte Simyacılar,Simya,starkey pyrotechny
ripley-revivd,Ripley Yeniden Canlanıyor,Simya,ripley revivd
vaughan-anthroposophia-theomagica-ruhun-yolculugu-simya,"Ruhun Yolculuğu: Ölüm, Ruhun Doğuşudur",Simya,vaughan anthroposophia
ashmole-saadete-giden-yol,Saadete Giden Yol,Simya,ashmole saadete
hollandus-opera-mineralia-saturnun-eseri,Satürn&#x27;ün Eseri: Mineral Eserleri&#x27;nin İlk Kitabı,Simya,hollandus opera
bohme-signatura-rerum-imza-ogretisi-simya,Signatura Rerum: Her Şeyin İmzası,Simya,bohme signatura
libavius-alchemia-simya-nedir,Simya Nedir: Libavius&#x27;un Tanımı,Simya,libavius alchemia
waite-simyacilarin-gercek-amaci-insanin-kemale-ermesi,Simyacıların Gerçek Amacı: İnsanın Kemale Ermesi,Simya,waite simyacilarin
roger-bacon-simyanin-aynasi-tasin-mukemmelligi,Simyanın Aynası: Taşın Kusursuzluğu Üzerine,Simya,roger bacon
norton-simyanin-duzeni,Simyanın Düzeni,Simya,norton simyanin
halid-ibn-yezid-sirlar-kitabi-simyanin-sirri,Simyanın Sırları Kitabı: Sırların Sırrı,Simya,halid yezid
thomas-norton-ordinall-sade-uslup,Simyanın Sırrını Örten Peçe: Thomas Norton&#x27;un Yalın Söz Vaadi,Simya,thomas norton
morienus-composition-of-alchemy,Simyanın Terkibi Üzerine: Morienus&#x27;un Kral Calid&#x27;e Söylevi,Simya,morienus composition
viridarium-chymicum,Simyevi Yeşil Bahçe,Simya,viridarium chymicum
basil-valentine-son-vasiyet,Son Vasiyet,Simya,basil valentine
gerhard-dorn-simya-anahtari-spekulatif-felsefe,Spekülatif Meseleler: İnsanın Birliği ve Maddenin Ruha Dönüşü,Simya,gerhard dorn
splendor-solis-gunesin-ihtisami-mistik-altin-simya,Splendor Solis: Güneşin İhtişamı,Simya,splendor solis
ramon-llull-testamentum-sozcuklerin-kabugu,"Sözcüklerin Kabuğu Değil, Doğanın Güçleri",Simya,ramon llull
theatrum-chemicum-tabiata-hizmet,Tabiata Hizmet Eden Sanat,Simya,theatrum chemicum
basil-valentine-tabii-ve-tabiatustu-seyler,Tabii ve Tabiatüstü Şeyler Üzerine,Simya,basil valentine
turba-philosophorum-filozoflar-meclisi-dort-unsur-simya,Turba Philosophorum: Filozoflar Meclisi,Simya,turba philosophorum
yahudi-meryem-tribikos-sanati,Yahudi Meryem&#x27;in Sanatı: Tribikos ve Damıtmanın Doğuşu,Simya,yahudi meryem
glauber-yeni-felsefi-firinlar-damitma-onsoz,Yeni Felsefi Fırınlar: Damıtma Sanatının Önsözü,Simya,glauber yeni
sendivogius-yeni-kimya-isigi,Yeni Kimya Işığı,Simya,sendivogius yeni
mylius-philosophia-reformata-yenilenmis-felsefe,Yenilenmiş Felsefe: Işıkların Babası&#x27;ndan İnen Amel,Simya,mylius philosophia
yeryuzunun-gogu-vaughan-coelum-terrae,Yeryüzünün Göğü,Simya,yeryuzunun gogu
michael-maier-viatorium-yedi-gezegen-daglari,Yolcunun Rehberi: Yedi Gezegenin Dağları,Simya,michael maier
aurora-consurgens,Yükselen Şafak,Simya,aurora consurgens
trevisolu-bernard-cesme-kral-ve-banyo-simya,"Çeşme, Kral ve Banyo",Simya,trevisolu bernard
croll-basilica-chymica-imzalar-ogretisi,İmzalar Öğretisi: Doğanın Dilsiz Konuşması,Simya,croll basilica
anaksimandros-fragmanlari-ilk-ilke,Anaksimandros: Sonsuzluk ve İlk İlke,Neoplatonizm,anaksimandros fragmanlari
ksenophanes-tanri-anlayisi-fragmanlari,Ksenophanes: Tek Tanrı ve İnsan Biçimli Tanrıların Eleştirisi,Neoplatonizm,ksenophanes tanri
zenon-hareket-paradokslari,"Zenon: Aşil, Kaplumbağa ve Hareketin İmkânsızlığı",Neoplatonizm,zenon hareket
anaksimenes-hava-ilk-ilke,Anaksimenes: Hava ve İlk İlke,Neoplatonizm,anaksimenes hava
herakleitos-fairbanks-fragmanlari,"Herakleitos: Çekişme, Uyum ve Değişimin Bilgeliği",Neoplatonizm,herakleitos fairbanks
melissos-varlik-sonsuzlugu,Melissos: Varlığın Sonsuzluğu ve Değişmezliği,Neoplatonizm,melissos varlik
pisagor-ruh-gocu-sayi-mistisizmi,Pisagor: Sayı Mistisizmi ve Ruh Göçü,Neoplatonizm,pisagor gocu
thales-su-ilk-ilke,Thales: Suyun İlk İlke Oluşu,Neoplatonizm,thales ilke
anaksagoras-nous-akil-ilkesi,Anaksagoras: Nous ve Akıl İlkesi,Neoplatonizm,anaksagoras nous
empedokles-dort-kok-sevgi-cekisme,"Empedokles: Dört Kök, Sevgi ve Çekişme",Neoplatonizm,empedokles dort
vitruvius-mimarin-egitimi-yedi-sanat,Vitruvius: Mimarın Eğitimi ve Yedi Sanat,Kutsal Geometri ve Mimari,vitruvius mimarin
vitruvius-insan-bedeni-simetri-daire-kare,"Vitruvius: İnsan Bedeni, Simetri, Daire ve Kare",Kutsal Geometri ve Mimari,vitruvius insan
apollodoros-gok-toprak-tanrilarin-dogusu,Apollodoros: Tanrıların Doğuşu ve Gigantomakhia,Mit ve Kutsal Anlatı,apollodoros toprak
plinius-dogal-tarih-evren-ve-ogeler-uzerine,Plinius: Evren ve Öğeler Üzerine,Kozmoloji,plinius dogal
timaios-dort-oge-ve-bes-duzgun-kati,Timaios: Dört Öğe ve Beş Düzgün Katı,Kutsal Geometri ve Mimari,timaios dort
culpeper-tam-sifali-bitkiler-kitabindan-secmeler,Culpeper: Tam Şifalı Bitkiler Kitabı&#x27;ndan Seçmeler,Ezoterik Tıp,culpeper sifali
ani-papirusu-olumler-kitabi-revizyonlari,Ölüler Kitabı: Ani Papirüsü — Revizyonlar ve Kadimlik,Mısır,papirusu olumler
anton-tapinakcilarin-sirri-ve-adetleri,Tapınakçıların Sırrı ve Âdetleri Üzerine İnceleme,Gizli Cemiyetler,anton tapinakcilarin
court-de-gebelin-saturn-zamanin-tanrisi,"Satürn, Merkür ve Herkül: Zamanın Tanrısı ve Çağların Şifresi",Zaman,court gebelin
crata-repoa-misir-rahiplerinin-inisiyasyonu,Crata Repoa: Mısır Rahiplerinin İnisiyasyon Dereceleri,İnisiyasyon,crata repoa
drexel-ebediyet-uzerine,Ebediyet Üzerine: Zamanın Ötesindeki Düzen,Zaman,drexel ebediyet
macrobius-scipionun-ruyasi-serhi-buyuk-yil,Macrobius&#x27;un Scipio&#x27;nun Rüyası Şerhi: Kürelerin Uyumu ve Büyük Yıl,Zaman,macrobius scipionun
maglarin-ilmi-papus-inisiyatik-bilim,Magî İlmi: İnisiyatik Bir Bilim Olarak Okültizm,İnisiyasyon,maglarin ilmi
masonlukta-yuksek-dereceler-en-gizli-misterler,Masonluğun Yüksek Derecelerinin En Gizli Misterleri,İnisiyasyon,masonlukta yuksek
molayin-mezari-inisiyelerin-gizli-tarihi,Jacques de Molay&#x27;ın Mezarı: İnisiyelerin Gizli Tarihi,Gizli Cemiyetler,molayin mezari
nicolai-tapinakcilara-yoneltilen-suclamalar,Tapınakçılara Yöneltilen Suçlamalar: Baphomet&#x27;in Sırrı,Gizli Cemiyetler,nicolai tapinakcilara
philoponus-dunyanin-ebediligine-karsi,Proclus&#x27;a Karşı: Dünyanın Bir Başlangıcı Var mıydı?,Zaman,philoponus dunyanin
regiomontanus-kalendarium-zamanin-hesabi,Regiomontanus Kalendarium&#x27;u: Basılı İlk Takvim ve Zamanın Hesabı,Zaman,regiomontanus kalendarium
tapinakci-rituel-el-yazmasi-kabul-toreni,"Tapınakçı Ritüeli: Çırağın, Şövalyenin ve Yeminli Üyenin Kabulü",Gizli Cemiyetler,tapinakci rituel
tapinakcilarin-yargilanmasi-papalik-tutanaklari,Tapınakçıların Yargılanması: Papalık Arşivinden Dava Tutanakları,Gizli Cemiyetler,tapinakcilarin yargilanmasi
visconti-sforza-tarosu-en-eski-tarot,Visconti-Sforza Tarosu: Hayatta Kalan En Eski Tarot,Tarot,visconti sforza
wichmanshausen-tapinakci-duzeninin-sonu,Tapınakçı Düzeninin Sonu Üzerine,Gizli Cemiyetler,wichmanshausen tapinakci
budge-misir-buyusu-tchatcha-em-ankh,Mısır Büyüsü: Tchatcha-em-ankh ve Gölün Yarılışı,Mısır,budge misir
plutarkhos-isis-ve-osiris-uzerine-hikmet-arayisi,İsis ve Osiris Üzerine: Hikmet Arayışı ve Rahiplerin Perhizi,Mısır,plutarkhos isis
waite-pictorial-key-to-the-tarot-onsoz,Resimli Tarot Anahtarı: Sahte Tarih ve Gizli Gelenek,Tarot,waite pictorial
albert-pike-morals-and-dogma-cirak-derecesi-guc-ve-akil,"Ahlak ve Dogma: Çırak Derecesi, Kör Güç ve Akıl",Gizli Cemiyetler,albert pike
papus-tarot-of-the-bohemians-giris-cingeneler,Çingenelerin Tarotu: Bilgeliğin Halka Emanet Edilişi,Tarot,papus tarot
censorinus-buyuk-yil-caglarin-olcusu,Büyük Yıl Üzerine: Çağların Yedi Farklı Ölçüsü,Zaman,censorinus buyuk
budge-misirin-tanrilari-dindarlik-ve-tanri-krallar,Mısır&#x27;ın Tanrıları: Herodotos&#x27;un Tanıklığı ve Tanrı-Kralların Kökeni,Mısır,budge misirin
hildegard-von-bingen-dort-unsurun-gucleri-ates-hava-su,"Dört Unsurun Güçleri: Ateş, Hava ve Suyun Bedendeki İşleyişi",Ezoterik Tıp,hildegard bingen
wilmshurst-masonlugun-anlami-inisiyasyonun-tanimi,Masonluğun Anlamı: İnisiyasyonun Gerçek Tanımı,İnisiyasyon,wilmshurst masonlugun
brontologion-damidos-gok-gurultusu-falnamesi,Kâhin Damis&#x27;in Gök Gürültüsü Falnamesi: On İki Ayın Kehaneti,Astroloji,brontologion damidos
firmicus-maternus-on-iki-evin-adlari-ve-anlamlari,On İki Evin Adları ve Anlamları,Astroloji,firmicus maternus
pisagor-kuresi-isim-sayi-kehanet-yontemi,"Pisagor&#x27;un Küresi: İsimden Sayıya, Sayıdan Kehanete",Astroloji,pisagor kuresi
